"ProjectState","ApprovalFiscalYear","mn_hpi"
"OR",2016,483.13
"PA",1990,195.4725
"PA",1991,199.0375
"PA",1992,204.28
"PA",1993,207.745
"PA",1994,207.81
"PA",1995,209.505
"PA",1996,213.88
"PA",1997,216.845
"PA",1998,224.5275
"PA",1999,230.065
"PA",2000,238.3325
"PA",2001,254.24
"PA",2002,270.7175
"PA",2003,289.145
"PA",2004,318.9925
"PA",2005,356.2175
"PA",2006,383.7125
"PA",2007,394.6175
"PA",2008,391.0725
"PA",2009,381.4275
"PA",2010,373.28
"PA",2011,365.4775
"PA",2012,362.615
"PA",2013,366.5275
"PA",2014,373.655
"PA",2015,384.605
"PA",2016,395.21
"RI",1990,260.835
"RI",1991,251.6925
"RI",1992,247.54
"RI",1993,246.51
"RI",1994,239.0425
"RI",1995,239.7225
"RI",1996,241.52
"RI",1997,243.43
"RI",1998,252.7525
"RI",1999,263.595
"RI",2000,291.205
"RI",2001,323.8575
"RI",2002,373.9
"RI",2003,428.76
"RI",2004,508.6675
"RI",2005,577.995
"RI",2006,601.4
"RI",2007,585.4125
"RI",2008,538.4025
"RI",2009,495.425
"RI",2010,473.755
"RI",2011,453.115
"RI",2012,440.99
"RI",2013,439.9325
"RI",2014,451.6075
"RI",2015,473.7825
"RI",2016,491.39
"SC",1990,160.5575
"SC",1991,165.0125
"SC",1992,170.3325
"SC",1993,174.855
"SC",1994,179.365
"SC",1995,185.4225
"SC",1996,193.685
"SC",1997,202.11
"SC",1998,213.515
"SC",1999,224.6875
"SC",2000,234.705
"SC",2001,249.2025
"SC",2002,258.0725
"SC",2003,266.99
"SC",2004,279.095
"SC",2005,300.54
"SC",2006,323.18
"SC",2007,337.8975
"SC",2008,339.9025
"SC",2009,332.09
"SC",2010,316.7275
"SC",2011,304.225
"SC",2012,301.4875
"SC",2013,303.52
"SC",2014,312.125
"SC",2015,329.4925
"SC",2016,346.393333333333
"SD",1990,124.145
"SD",1991,130.8075
"SD",1992,138.925
"SD",1993,148.365
"SD",1994,159.22
"SD",1995,166.2925
"SD",1996,173.755
"SD",1997,180.665
"SD",1998,188.245
"SD",1999,194.68
"SD",2000,202.2725
"SD",2001,212.9925
"SD",2002,222.3475
"SD",2003,231.59
"SD",2004,244.7775
"SD",2005,262.025
"SD",2006,274.435
"SD",2007,284.925
"SD",2008,292.2375
"SD",2009,293.375
"SD",2010,290.63
"SD",2011,291.285
"SD",2012,296.01
"SD",2013,307.0475
"SD",2014,317.215
"SD",2015,332.015
"SD",2016,345.236666666667
"TN",1990,147.005
"TN",1991,149.15
"TN",1992,153.885
"TN",1993,159.0575
"TN",1994,166.7775
"TN",1995,176.305
"TN",1996,186.0125
"TN",1997,194.3525
"TN",1998,204.6075
"TN",1999,211.2075
"TN",2000,216.965
"TN",2001,227.535
"TN",2002,234.155
"TN",2003,242.075
"TN",2004,252.0625
"TN",2005,268.42
"TN",2006,287.57
"TN",2007,301.04
"TN",2008,302.12
"TN",2009,296.525
"TN",2010,287.85
